Team,Goals,Shots on target,Shots off target,Total shots (inc. Blocked),Hit Woodwork,Penalty goals,Penalties not scored,Headed goals,Passes,Passes completed,Touches,Crosses,Dribbles,Corners Taken,Tackles,Clearances,Interceptions,Clean Sheets,Blocks,Goals conceded,Saves made,Fouls Won,Fouls Conceded,Offsides,Yellow Cards,Red Cards,Subs on,Subs off,Players Used
10,-1.081802413,-0.962296414,-1.228042263,-1.036567862,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-1.006597476,-1.041954264,-1.019443937,-0.774913229,-1.500961072,-1.227698296,-1.033225375,-0.364933643,-0.786546683,-0.807221141,1.531946865,2.16772611,1.061678173,-0.451098738,-0.226650299,0.615127383,-0.450499099,2.046750886,-0.249930397,-0.249930397,-0.166398585
7,-0.755903778,-0.479555834,1.099412665,0.225555195,0.563831599,-0.477645255,-0.25046083,-1.440067876,-0.215976205,-0.090678099,-0.358049347,-0.384014926,-0.113450153,0.067964452,-1.525629736,-1.933287304,-0.86599445,-0.807221141,-0.517086062,0.132501596,-0.073722175,-0.814437837,-1.37567042,-1.032841791,-0.768498463,-0.488579244,-1.131317591,-1.131317591,-1.54547175
6,0.547690762,1.64450272,1.972208263,2.19762247,0.563831599,-0.477645255,-0.25046083,0.613098205,1.421338766,1.320892985,1.635194625,1.012050444,1.050268681,0.808343166,1.339268363,2.135954627,2.907774467,0.766245449,0.800149391,1.150113853,1.742918382,2.183109728,1.85252897,1.645108116,2.729494541,-0.488579244,2.100435456,2.100435456,1.21267458
3,-0.430005143,0.485925327,-0.064314799,0.422761922,-0.100313597,-0.477645255,-0.25046083,-1.440067876,0.355962586,0.427307116,0.317841564,-0.104801852,1.095027098,0.623248487,0.130639478,-0.449709517,-0.190688433,-0.020487846,-0.809805052,0.132501596,-1.436202594,-0.769020449,-0.226650299,-0.620849498,-0.450499099,-0.488579244,0.043865335,0.043865335,1.21267458
13,0.221792127,0.003184747,-0.549201242,-0.602713061,1.227976796,-0.477645255,-0.25046083,-0.413484836,-0.6241835,-0.601298595,-0.681498482,-0.719070615,-1.008618488,-1.320245636,-0.540821014,-1.382244126,-0.707098916,-0.020487846,-0.078007578,0.132501596,-0.982042454,-0.814437837,-0.226650299,-0.208857204,-0.132499735,-0.488579244,-0.543726128,-0.543726128,0.523137997
15,-0.755903778,-0.383007717,-0.646178531,-0.602713061,-0.764458794,-0.477645255,-0.25046083,-1.440067876,-0.205883168,-0.284615691,-0.181375449,-0.607385385,0.736959764,-0.024582887,-0.272236817,0.482825092,-1.024889983,-0.020487846,-0.370726568,0.641307725,-0.754962385,0.003075136,0.977085067,-0.002861058,-0.132499735,-0.488579244,0.043865335,0.043865335,1.21267458
14,-0.755903778,-0.962296414,0.129639778,-0.642154407,-0.764458794,-0.477645255,-0.25046083,0.613098205,-0.529981816,-0.505557252,-0.601768723,-1.333339377,-1.142893738,-0.302224905,-0.137944719,0.440437156,-1.34268105,-0.807221141,-1.248883537,-0.376304533,0.153357894,-0.224011801,-1.320955177,-0.826845645,-0.768498463,-0.488579244,-0.543726128,-0.543726128,0.523137997
6,0.547690762,1.64450272,1.972208263,2.19762247,0.563831599,-0.477645255,-0.25046083,0.613098205,1.421338766,1.320892985,1.635194625,1.012050444,1.050268681,0.808343166,1.339268363,2.135954627,2.907774467,0.766245449,0.800149391,1.150113853,1.742918382,2.183109728,1.85252897,1.645108116,2.729494541,-0.488579244,2.100435456,2.100435456,1.21267458
7,-0.755903778,-0.479555834,1.099412665,0.225555195,0.563831599,-0.477645255,-0.25046083,-1.440067876,-0.215976205,-0.090678099,-0.358049347,-0.384014926,-0.113450153,0.067964452,-1.525629736,-1.933287304,-0.86599445,-0.807221141,-0.517086062,0.132501596,-0.073722175,-0.814437837,-1.37567042,-1.032841791,-0.768498463,-0.488579244,-1.131317591,-1.131317591,-1.54547175
6,0.547690762,1.64450272,1.972208263,2.19762247,0.563831599,-0.477645255,-0.25046083,0.613098205,1.421338766,1.320892985,1.635194625,1.012050444,1.050268681,0.808343166,1.339268363,2.135954627,2.907774467,0.766245449,0.800149391,1.150113853,1.742918382,2.183109728,1.85252897,1.645108116,2.729494541,-0.488579244,2.100435456,2.100435456,1.21267458
14,-0.755903778,-0.962296414,0.129639778,-0.642154407,-0.764458794,-0.477645255,-0.25046083,0.613098205,-0.529981816,-0.505557252,-0.601768723,-1.333339377,-1.142893738,-0.302224905,-0.137944719,0.440437156,-1.34268105,-0.807221141,-1.248883537,-0.376304533,0.153357894,-0.224011801,-1.320955177,-0.826845645,-0.768498463,-0.488579244,-0.543726128,-0.543726128,0.523137997
12,2.503082572,2.416887649,0.808480799,1.803209015,-0.764458794,2.093603967,-0.25046083,0.613098205,2.880343408,2.903080052,2.742351049,0.676994755,2.437779599,2.104005914,2.41360515,0.65237684,0.643513117,3.126445333,-0.663445557,-1.902722918,0.607518034,2.228527115,1.524237506,2.263096557,1.139497721,-0.488579244,1.806639724,1.806639724,0.523137997
2,0.221792127,-0.57610395,-0.646178531,-0.563271716,-0.764458794,-0.477645255,-0.25046083,1.639681245,-0.292234711,-0.312847113,-0.10708181,0.062725993,0.37889243,-0.487319583,0.80209997,0.821928587,0.365445934,0.766245449,2.410103834,-0.885110661,2.197078522,-0.451098738,-0.554941762,-0.414853351,-0.768498463,-0.488579244,0.043865335,0.043865335,-0.855935167
8,-0.755903778,-0.189911485,-0.161292088,-0.247740951,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-0.773336165,-0.740000797,-0.755792121,-0.104801852,-0.561034321,-0.672414261,-0.048416654,0.016557788,-0.0317929,-0.807221141,-0.663445557,-0.885110661,-1.436202594,-0.224011801,0.046925921,-1.032841791,-0.132499735,2.046750886,-1.131317591,-1.131317591,-0.166398585
15,-0.755903778,-0.383007717,-0.646178531,-0.602713061,-0.764458794,-0.477645255,-0.25046083,-1.440067876,-0.205883168,-0.284615691,-0.181375449,-0.607385385,0.736959764,-0.024582887,-0.272236817,0.482825092,-1.024889983,-0.020487846,-0.370726568,0.641307725,-0.754962385,0.003075136,0.977085067,-0.002861058,-0.132499735,-0.488579244,0.043865335,0.043865335,1.21267458
8,-0.755903778,-0.189911485,-0.161292088,-0.247740951,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-0.773336165,-0.740000797,-0.755792121,-0.104801852,-0.561034321,-0.672414261,-0.048416654,0.016557788,-0.0317929,-0.807221141,-0.663445557,-0.885110661,-1.436202594,-0.224011801,0.046925921,-1.032841791,-0.132499735,2.046750886,-1.131317591,-1.131317591,-0.166398585
15,-0.755903778,-0.383007717,-0.646178531,-0.602713061,-0.764458794,-0.477645255,-0.25046083,-1.440067876,-0.205883168,-0.284615691,-0.181375449,-0.607385385,0.736959764,-0.024582887,-0.272236817,0.482825092,-1.024889983,-0.020487846,-0.370726568,0.641307725,-0.754962385,0.003075136,0.977085067,-0.002861058,-0.132499735,-0.488579244,0.043865335,0.043865335,1.21267458
13,0.221792127,0.003184747,-0.549201242,-0.602713061,1.227976796,-0.477645255,-0.25046083,-0.413484836,-0.6241835,-0.601298595,-0.681498482,-0.719070615,-1.008618488,-1.320245636,-0.540821014,-1.382244126,-0.707098916,-0.020487846,-0.078007578,0.132501596,-0.982042454,-0.814437837,-0.226650299,-0.208857204,-0.132499735,-0.488579244,-0.543726128,-0.543726128,0.523137997
4,1.851285302,1.451406488,0.71150351,1.014382105,0.563831599,2.093603967,-0.25046083,0.613098205,1.149948202,1.193237861,1.089770593,2.463958429,0.37889243,1.271079862,1.025920133,-0.576873327,0.246274284,-0.020487846,-0.224367073,0.641307725,-0.527882315,0.457249009,-0.336080786,0.821123529,-1.086497827,-0.488579244,1.219048261,1.219048261,-0.166398585
12,2.503082572,2.416887649,0.808480799,1.803209015,-0.764458794,2.093603967,-0.25046083,0.613098205,2.880343408,2.903080052,2.742351049,0.676994755,2.437779599,2.104005914,2.41360515,0.65237684,0.643513117,3.126445333,-0.663445557,-1.902722918,0.607518034,2.228527115,1.524237506,2.263096557,1.139497721,-0.488579244,1.806639724,1.806639724,0.523137997
15,-0.755903778,-0.383007717,-0.646178531,-0.602713061,-0.764458794,-0.477645255,-0.25046083,-1.440067876,-0.205883168,-0.284615691,-0.181375449,-0.607385385,0.736959764,-0.024582887,-0.272236817,0.482825092,-1.024889983,-0.020487846,-0.370726568,0.641307725,-0.754962385,0.003075136,0.977085067,-0.002861058,-0.132499735,-0.488579244,0.043865335,0.043865335,1.21267458
12,2.503082572,2.416887649,0.808480799,1.803209015,-0.764458794,2.093603967,-0.25046083,0.613098205,2.880343408,2.903080052,2.742351049,0.676994755,2.437779599,2.104005914,2.41360515,0.65237684,0.643513117,3.126445333,-0.663445557,-1.902722918,0.607518034,2.228527115,1.524237506,2.263096557,1.139497721,-0.488579244,1.806639724,1.806639724,0.523137997
1,-0.104106508,-0.672652066,-1.42199684,-1.076009207,-0.100313597,-0.477645255,-0.25046083,1.639681245,-0.505309947,-0.457686581,-0.620795143,-0.774913229,-0.874343238,-0.487319583,-1.257045539,-1.085528569,-0.15096455,-0.020487846,-0.370726568,0.132501596,-0.527882315,-1.26861171,-0.937948469,-0.002861058,-1.086497827,-0.488579244,-1.131317591,-1.131317591,-1.54547175
6,0.547690762,1.64450272,1.972208263,2.19762247,0.563831599,-0.477645255,-0.25046083,0.613098205,1.421338766,1.320892985,1.635194625,1.012050444,1.050268681,0.808343166,1.339268363,2.135954627,2.907774467,0.766245449,0.800149391,1.150113853,1.742918382,2.183109728,1.85252897,1.645108116,2.729494541,-0.488579244,2.100435456,2.100435456,1.21267458
11,0.221792127,-0.769200182,0.614526221,0.186113849,0.563831599,-0.477645255,-0.25046083,-0.413484836,-0.164389569,-0.134866411,-0.253857048,-0.942441074,-0.516275904,-0.024582887,-0.137944719,-0.53448539,-0.190688433,-0.807221141,-0.663445557,-0.885110661,-0.527882315,-0.859855224,-0.66437225,-0.826845645,-0.450499099,-0.488579244,-1.131317591,-1.131317591,-0.855935167
14,-0.755903778,-0.962296414,0.129639778,-0.642154407,-0.764458794,-0.477645255,-0.25046083,0.613098205,-0.529981816,-0.505557252,-0.601768723,-1.333339377,-1.142893738,-0.302224905,-0.137944719,0.440437156,-1.34268105,-0.807221141,-1.248883537,-0.376304533,0.153357894,-0.224011801,-1.320955177,-0.826845645,-0.768498463,-0.488579244,-0.543726128,-0.543726128,0.523137997
10,-1.081802413,-0.962296414,-1.228042263,-1.036567862,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-1.006597476,-1.041954264,-1.019443937,-0.774913229,-1.500961072,-1.227698296,-1.033225375,-0.364933643,-0.786546683,-0.807221141,1.531946865,2.16772611,1.061678173,-0.451098738,-0.226650299,0.615127383,-0.450499099,2.046750886,-0.249930397,-0.249930397,-0.166398585
15,-0.755903778,-0.383007717,-0.646178531,-0.602713061,-0.764458794,-0.477645255,-0.25046083,-1.440067876,-0.205883168,-0.284615691,-0.181375449,-0.607385385,0.736959764,-0.024582887,-0.272236817,0.482825092,-1.024889983,-0.020487846,-0.370726568,0.641307725,-0.754962385,0.003075136,0.977085067,-0.002861058,-0.132499735,-0.488579244,0.043865335,0.043865335,1.21267458
3,-0.430005143,0.485925327,-0.064314799,0.422761922,-0.100313597,-0.477645255,-0.25046083,-1.440067876,0.355962586,0.427307116,0.317841564,-0.104801852,1.095027098,0.623248487,0.130639478,-0.449709517,-0.190688433,-0.020487846,-0.809805052,0.132501596,-1.436202594,-0.769020449,-0.226650299,-0.620849498,-0.450499099,-0.488579244,0.043865335,0.043865335,1.21267458
7,-0.755903778,-0.479555834,1.099412665,0.225555195,0.563831599,-0.477645255,-0.25046083,-1.440067876,-0.215976205,-0.090678099,-0.358049347,-0.384014926,-0.113450153,0.067964452,-1.525629736,-1.933287304,-0.86599445,-0.807221141,-0.517086062,0.132501596,-0.073722175,-0.814437837,-1.37567042,-1.032841791,-0.768498463,-0.488579244,-1.131317591,-1.131317591,-1.54547175
15,-0.755903778,-0.383007717,-0.646178531,-0.602713061,-0.764458794,-0.477645255,-0.25046083,-1.440067876,-0.205883168,-0.284615691,-0.181375449,-0.607385385,0.736959764,-0.024582887,-0.272236817,0.482825092,-1.024889983,-0.020487846,-0.370726568,0.641307725,-0.754962385,0.003075136,0.977085067,-0.002861058,-0.132499735,-0.488579244,0.043865335,0.043865335,1.21267458
12,2.503082572,2.416887649,0.808480799,1.803209015,-0.764458794,2.093603967,-0.25046083,0.613098205,2.880343408,2.903080052,2.742351049,0.676994755,2.437779599,2.104005914,2.41360515,0.65237684,0.643513117,3.126445333,-0.663445557,-1.902722918,0.607518034,2.228527115,1.524237506,2.263096557,1.139497721,-0.488579244,1.806639724,1.806639724,0.523137997
10,-1.081802413,-0.962296414,-1.228042263,-1.036567862,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-1.006597476,-1.041954264,-1.019443937,-0.774913229,-1.500961072,-1.227698296,-1.033225375,-0.364933643,-0.786546683,-0.807221141,1.531946865,2.16772611,1.061678173,-0.451098738,-0.226650299,0.615127383,-0.450499099,2.046750886,-0.249930397,-0.249930397,-0.166398585
7,-0.755903778,-0.479555834,1.099412665,0.225555195,0.563831599,-0.477645255,-0.25046083,-1.440067876,-0.215976205,-0.090678099,-0.358049347,-0.384014926,-0.113450153,0.067964452,-1.525629736,-1.933287304,-0.86599445,-0.807221141,-0.517086062,0.132501596,-0.073722175,-0.814437837,-1.37567042,-1.032841791,-0.768498463,-0.488579244,-1.131317591,-1.131317591,-1.54547175
2,0.221792127,-0.57610395,-0.646178531,-0.563271716,-0.764458794,-0.477645255,-0.25046083,1.639681245,-0.292234711,-0.312847113,-0.10708181,0.062725993,0.37889243,-0.487319583,0.80209997,0.821928587,0.365445934,0.766245449,2.410103834,-0.885110661,2.197078522,-0.451098738,-0.554941762,-0.414853351,-0.768498463,-0.488579244,0.043865335,0.043865335,-0.855935167
5,0.221792127,-0.865748298,-0.646178531,-0.87880248,-0.100313597,2.093603967,3.992640288,-1.440067876,-0.629790743,-0.667581064,-0.491234285,-0.272329696,0.065583513,-1.042603618,-0.137944719,1.542523512,0.961304184,-0.020487846,1.531946865,1.150113853,0.153357894,0.638918558,-0.39079603,0.821123529,0.503498993,2.046750886,0.337661066,0.337661066,1.902211162
7,-0.755903778,-0.479555834,1.099412665,0.225555195,0.563831599,-0.477645255,-0.25046083,-1.440067876,-0.215976205,-0.090678099,-0.358049347,-0.384014926,-0.113450153,0.067964452,-1.525629736,-1.933287304,-0.86599445,-0.807221141,-0.517086062,0.132501596,-0.073722175,-0.814437837,-1.37567042,-1.032841791,-0.768498463,-0.488579244,-1.131317591,-1.131317591,-1.54547175
3,-0.430005143,0.485925327,-0.064314799,0.422761922,-0.100313597,-0.477645255,-0.25046083,-1.440067876,0.355962586,0.427307116,0.317841564,-0.104801852,1.095027098,0.623248487,0.130639478,-0.449709517,-0.190688433,-0.020487846,-0.809805052,0.132501596,-1.436202594,-0.769020449,-0.226650299,-0.620849498,-0.450499099,-0.488579244,0.043865335,0.043865335,1.21267458
5,0.221792127,-0.865748298,-0.646178531,-0.87880248,-0.100313597,2.093603967,3.992640288,-1.440067876,-0.629790743,-0.667581064,-0.491234285,-0.272329696,0.065583513,-1.042603618,-0.137944719,1.542523512,0.961304184,-0.020487846,1.531946865,1.150113853,0.153357894,0.638918558,-0.39079603,0.821123529,0.503498993,2.046750886,0.337661066,0.337661066,1.902211162
14,-0.755903778,-0.962296414,0.129639778,-0.642154407,-0.764458794,-0.477645255,-0.25046083,0.613098205,-0.529981816,-0.505557252,-0.601768723,-1.333339377,-1.142893738,-0.302224905,-0.137944719,0.440437156,-1.34268105,-0.807221141,-1.248883537,-0.376304533,0.153357894,-0.224011801,-1.320955177,-0.826845645,-0.768498463,-0.488579244,-0.543726128,-0.543726128,0.523137997
1,-0.104106508,-0.672652066,-1.42199684,-1.076009207,-0.100313597,-0.477645255,-0.25046083,1.639681245,-0.505309947,-0.457686581,-0.620795143,-0.774913229,-0.874343238,-0.487319583,-1.257045539,-1.085528569,-0.15096455,-0.020487846,-0.370726568,0.132501596,-0.527882315,-1.26861171,-0.937948469,-0.002861058,-1.086497827,-0.488579244,-1.131317591,-1.131317591,-1.54547175
1,-0.104106508,-0.672652066,-1.42199684,-1.076009207,-0.100313597,-0.477645255,-0.25046083,1.639681245,-0.505309947,-0.457686581,-0.620795143,-0.774913229,-0.874343238,-0.487319583,-1.257045539,-1.085528569,-0.15096455,-0.020487846,-0.370726568,0.132501596,-0.527882315,-1.26861171,-0.937948469,-0.002861058,-1.086497827,-0.488579244,-1.131317591,-1.131317591,-1.54547175
13,0.221792127,0.003184747,-0.549201242,-0.602713061,1.227976796,-0.477645255,-0.25046083,-0.413484836,-0.6241835,-0.601298595,-0.681498482,-0.719070615,-1.008618488,-1.320245636,-0.540821014,-1.382244126,-0.707098916,-0.020487846,-0.078007578,0.132501596,-0.982042454,-0.814437837,-0.226650299,-0.208857204,-0.132499735,-0.488579244,-0.543726128,-0.543726128,0.523137997
12,2.503082572,2.416887649,0.808480799,1.803209015,-0.764458794,2.093603967,-0.25046083,0.613098205,2.880343408,2.903080052,2.742351049,0.676994755,2.437779599,2.104005914,2.41360515,0.65237684,0.643513117,3.126445333,-0.663445557,-1.902722918,0.607518034,2.228527115,1.524237506,2.263096557,1.139497721,-0.488579244,1.806639724,1.806639724,0.523137997
12,2.503082572,2.416887649,0.808480799,1.803209015,-0.764458794,2.093603967,-0.25046083,0.613098205,2.880343408,2.903080052,2.742351049,0.676994755,2.437779599,2.104005914,2.41360515,0.65237684,0.643513117,3.126445333,-0.663445557,-1.902722918,0.607518034,2.228527115,1.524237506,2.263096557,1.139497721,-0.488579244,1.806639724,1.806639724,0.523137997
14,-0.755903778,-0.962296414,0.129639778,-0.642154407,-0.764458794,-0.477645255,-0.25046083,0.613098205,-0.529981816,-0.505557252,-0.601768723,-1.333339377,-1.142893738,-0.302224905,-0.137944719,0.440437156,-1.34268105,-0.807221141,-1.248883537,-0.376304533,0.153357894,-0.224011801,-1.320955177,-0.826845645,-0.768498463,-0.488579244,-0.543726128,-0.543726128,0.523137997
10,-1.081802413,-0.962296414,-1.228042263,-1.036567862,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-1.006597476,-1.041954264,-1.019443937,-0.774913229,-1.500961072,-1.227698296,-1.033225375,-0.364933643,-0.786546683,-0.807221141,1.531946865,2.16772611,1.061678173,-0.451098738,-0.226650299,0.615127383,-0.450499099,2.046750886,-0.249930397,-0.249930397,-0.166398585
13,0.221792127,0.003184747,-0.549201242,-0.602713061,1.227976796,-0.477645255,-0.25046083,-0.413484836,-0.6241835,-0.601298595,-0.681498482,-0.719070615,-1.008618488,-1.320245636,-0.540821014,-1.382244126,-0.707098916,-0.020487846,-0.078007578,0.132501596,-0.982042454,-0.814437837,-0.226650299,-0.208857204,-0.132499735,-0.488579244,-0.543726128,-0.543726128,0.523137997
9,0.547690762,0.485925327,1.681276397,1.093264796,3.220412386,-0.477645255,-0.25046083,0.613098205,0.159709079,0.00751815,0.362236543,1.905532281,0.557926097,1.826363897,0.443987707,0.228497472,0.9215803,0.766245449,-0.224367073,-0.376304533,-0.527882315,0.911422882,1.907244214,0.409131236,1.457497085,-0.488579244,0.92525253,0.92525253,-0.855935167
9,0.547690762,0.485925327,1.681276397,1.093264796,3.220412386,-0.477645255,-0.25046083,0.613098205,0.159709079,0.00751815,0.362236543,1.905532281,0.557926097,1.826363897,0.443987707,0.228497472,0.9215803,0.766245449,-0.224367073,-0.376304533,-0.527882315,0.911422882,1.907244214,0.409131236,1.457497085,-0.488579244,0.92525253,0.92525253,-0.855935167
7,-0.755903778,-0.479555834,1.099412665,0.225555195,0.563831599,-0.477645255,-0.25046083,-1.440067876,-0.215976205,-0.090678099,-0.358049347,-0.384014926,-0.113450153,0.067964452,-1.525629736,-1.933287304,-0.86599445,-0.807221141,-0.517086062,0.132501596,-0.073722175,-0.814437837,-1.37567042,-1.032841791,-0.768498463,-0.488579244,-1.131317591,-1.131317591,-1.54547175
10,-1.081802413,-0.962296414,-1.228042263,-1.036567862,-0.764458794,-0.477645255,-0.25046083,-0.413484836,-1.006597476,-1.041954264,-1.019443937,-0.774913229,-1.500961072,-1.227698296,-1.033225375,-0.364933643,-0.786546683,-0.807221141,1.531946865,2.16772611,1.061678173,-0.451098738,-0.226650299,0.615127383,-0.450499099,2.046750886,-0.249930397,-0.249930397,-0.166398585
11,0.221792127,-0.769200182,0.614526221,0.186113849,0.563831599,-0.477645255,-0.25046083,-0.413484836,-0.164389569,-0.134866411,-0.253857048,-0.942441074,-0.516275904,-0.024582887,-0.137944719,-0.53448539,-0.190688433,-0.807221141,-0.663445557,-0.885110661,-0.527882315,-0.859855224,-0.66437225,-0.826845645,-0.450499099,-0.488579244,-1.131317591,-1.131317591,-0.855935167
